Cecilie,Java ,Node,Rust,C#,,Sassan,Java ,Node,Rust,C#,,Azure (linux),Java ,Node,Rust,C#,,Azure (windows),Java ,Node,Rust,C#
BT no cold mean,6.888888889,6.777777778,5.555555556,12.22222222,,BT no cold mean,4.333333333,3.333333333,5.333333333,10.33333333,,BT no cold mean,21.22222222,10.44444444,8.777777778,9.777777778,,BT no cold mean,16.44444444,6.222222222,10.11111111,2.333333333
BT no cold Sum,62,61,50,110,,BT no cold Sum,39,30,48,93,,BT no cold Sum,191,94,79,88,,BT no cold Sum,148,56,91,21
BT No cold min,4,3,4,3,,BT No cold min,4,2,4,2,,BT No cold min,14,5,7,3,,BT No cold min,12,5,7,1
BT Cold,125,177,142,82,,BT Cold,89,106,112,98,,BT Cold,92,8,58,23,,BT Cold,255,189,95,2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
FR no cold mean,7.444444444,6,4.555555556,4.111111111,,FR no cold mean,4.444444444,4.444444444,3.222222222,2,,FR no cold mean,15.11111111,13.33333333,4.555555556,3,,FR no cold mean,11.55555556,7.888888889,4.555555556,0.666666667
FR no cold Sum,67,54,41,37,,FR no cold Sum,40,40,29,18,,FR no cold Sum,136,120,41,27,,FR no cold Sum,104,71,41,6
FR No cold min,6,3,3,2,,FR No cold min,4,3,3,1,,FR No cold min,12,9,4,1,,FR No cold min,8,4,4,0
FR Cold,18,177,146,36,,FR Cold,103,122,131,40,,FR Cold,17,9,8,7,,FR Cold,11,17,6,1
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
S no cold mean,4.111111111,3.444444444,2.777777778,1.444444444,,S no cold mean,3.888888889,3.111111111,2.222222222,1.111111111,,S no cold mean,11.33333333,7.666666667,5.888888889,2.111111111,,S no cold mean,6,5.555555556,4.777777778,0
S no cold Sum,37,31,25,13,,S no cold Sum,35,28,20,10,,S no cold Sum,102,69,53,19,,S no cold Sum,54,50,43,0
S No cold min,3,2,2,1,,S No cold min,3,2,2,1,,S No cold min,9,4,3,0,,S No cold min,5,3,4,0
S Cold,160,4,145,49,,S Cold,129,117,2,3,,S Cold,35,4,6,4,,S Cold,6,6,7,0
